order,config_id,model,family,dataset,task,seed,metric,value,source
1,rules,Rules,deterministic,abt_buy,classification,deterministic,f1,0.4013840830449827,exp03_full_matrix_finalize_20260819/inventory/exp01_final/abt_buy/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
1,rules,Rules,deterministic,abt_buy,ranking,deterministic,hits_at_1,0.6233766233766234,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
1,rules,Rules,deterministic,abt_buy,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
1,rules,Rules,deterministic,abt_buy,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
1,rules,Rules,deterministic,abt_buy,ranking,deterministic,mrr_at_100,0.7235993605431154,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
1,rules,Rules,deterministic,abt_buy,ranking,deterministic,ndcg_at_100,0.784532209404244,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
1,rules,Rules,deterministic,amazon_google,classification,deterministic,f1,0.5221843003412969,exp03_full_matrix_finalize_20260819/inventory/exp01_final/amazon_google/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
1,rules,Rules,deterministic,amazon_google,ranking,deterministic,hits_at_1,0.8098159509202454,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
1,rules,Rules,deterministic,amazon_google,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
1,rules,Rules,deterministic,amazon_google,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
1,rules,Rules,deterministic,amazon_google,ranking,deterministic,mrr_at_100,0.8876582744680903,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
1,rules,Rules,deterministic,amazon_google,ranking,deterministic,ndcg_at_100,0.9121168640146877,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
1,rules,Rules,deterministic,link_lives_release2,classification,deterministic,f1,0.5633139808567393,exp03_full_matrix_finalize_20260819/inventory/exp01_final/link_lives_release2/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
1,rules,Rules,deterministic,link_lives_release2,ranking,deterministic,hits_at_1,0.5974391005621487,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
1,rules,Rules,deterministic,link_lives_release2,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
1,rules,Rules,deterministic,link_lives_release2,ranking,deterministic,hits_at_100_end_to_end,0.9852307692307692,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
1,rules,Rules,deterministic,link_lives_release2,ranking,deterministic,mrr_at_100,0.6962840851557598,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
1,rules,Rules,deterministic,link_lives_release2,ranking,deterministic,ndcg_at_100,0.7627019690793443,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
1,rules,Rules,deterministic,walmart_amazon,classification,deterministic,f1,0.569060773480663,exp03_full_matrix_finalize_20260819/inventory/exp01_final/walmart_amazon/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
1,rules,Rules,deterministic,walmart_amazon,ranking,deterministic,hits_at_1,0.7938931297709924,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
1,rules,Rules,deterministic,walmart_amazon,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
1,rules,Rules,deterministic,walmart_amazon,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
1,rules,Rules,deterministic,walmart_amazon,ranking,deterministic,mrr_at_100,0.8590819093344912,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
1,rules,Rules,deterministic,walmart_amazon,ranking,deterministic,ndcg_at_100,0.8874872118294995,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/walmart_amazon/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_seen,classification,deterministic,f1,0.28728179551122196,exp03_full_matrix_finalize_20260819/inventory/exp01_final/wdc_80_medium_seen/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_seen,ranking,deterministic,hits_at_1,0.20440881763527055,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_seen,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_seen,ranking,deterministic,hits_at_100_end_to_end,0.998,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_seen,ranking,deterministic,mrr_at_100,0.34843343364644636,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_seen,ranking,deterministic,ndcg_at_100,0.48485607329171443,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_seen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_unseen,classification,deterministic,f1,0.3424015009380863,exp03_full_matrix_finalize_20260819/inventory/exp01_final/wdc_80_medium_unseen/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_unseen,ranking,deterministic,hits_at_1,0.3373493975903614,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_unseen,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_unseen,ranking,deterministic,hits_at_100_end_to_end,0.996,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_unseen,ranking,deterministic,mrr_at_100,0.49376581547440423,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
1,rules,Rules,deterministic,wdc_80_medium_unseen,ranking,deterministic,ndcg_at_100,0.6058633131178085,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/wdc_80_medium_unseen/metrics.json
2,embedding_e5,E5,frozen_embedding,abt_buy,classification,deterministic,f1,0.5023696682464455,exp03_full_matrix_finalize_20260819/inventory/exp01_final/abt_buy/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
2,embedding_e5,E5,frozen_embedding,abt_buy,ranking,deterministic,hits_at_1,0.8051948051948052,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
2,embedding_e5,E5,frozen_embedding,abt_buy,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
2,embedding_e5,E5,frozen_embedding,abt_buy,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
2,embedding_e5,E5,frozen_embedding,abt_buy,ranking,deterministic,mrr_at_100,0.8653979374844035,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
2,embedding_e5,E5,frozen_embedding,abt_buy,ranking,deterministic,ndcg_at_100,0.8958551596279223,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/abt_buy/metrics.json
2,embedding_e5,E5,frozen_embedding,amazon_google,classification,deterministic,f1,0.5214007782101168,exp03_full_matrix_finalize_20260819/inventory/exp01_final/amazon_google/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
2,embedding_e5,E5,frozen_embedding,amazon_google,ranking,deterministic,hits_at_1,0.7975460122699386,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
2,embedding_e5,E5,frozen_embedding,amazon_google,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
2,embedding_e5,E5,frozen_embedding,amazon_google,ranking,deterministic,hits_at_100_end_to_end,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
2,embedding_e5,E5,frozen_embedding,amazon_google,ranking,deterministic,mrr_at_100,0.8738271382172501,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
2,embedding_e5,E5,frozen_embedding,amazon_google,ranking,deterministic,ndcg_at_100,0.9030430936089522,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/amazon_google/metrics.json
2,embedding_e5,E5,frozen_embedding,link_lives_release2,classification,deterministic,f1,0.7052598817304699,exp03_full_matrix_finalize_20260819/inventory/exp01_final/link_lives_release2/intfloat__e5-base-v2/f52bf8ec8c7124536f0efb74aca902b2995e5bcd/metrics.json
2,embedding_e5,E5,frozen_embedding,link_lives_release2,ranking,deterministic,hits_at_1,0.6570893191755153,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
2,embedding_e5,E5,frozen_embedding,link_lives_release2,ranking,deterministic,hits_at_100,1.0,exp03_full_matrix_finalize_20260819/inventory/exp02/ranking/link_lives_release2/metrics.json
