order,config_id,model,abt_buy_mean,abt_buy_std,abt_buy_n,amazon_google_mean,amazon_google_std,amazon_google_n,walmart_amazon_mean,walmart_amazon_std,walmart_amazon_n,wdc_80_medium_seen_mean,wdc_80_medium_seen_std,wdc_80_medium_seen_n,wdc_80_medium_unseen_mean,wdc_80_medium_unseen_std,wdc_80_medium_unseen_n,link_lives_release2_mean,link_lives_release2_std,link_lives_release2_n
1,rules,Rules,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
2,embedding_e5,E5,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
3,embedding_minilm,MiniLM,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
4,embedding_bge,BGE,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
5,embedding_gte,GTE,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
6,embedding_roberta,RoBERTa embedding,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
7,embedding_bert,BERT embedding,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
8,embedding_jina,Jina embedding,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
9,equal_fusion_e5,Equal fusion + E5,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
10,convex_fusion_e5,Convex fusion + E5,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
11,hef_linear_e5,HEF-linear + E5,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
12,hef_linear_minilm,HEF-linear + MiniLM,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
13,hef_linear_bge,HEF-linear + BGE,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
14,hef_linear_gte,HEF-linear + GTE,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
15,hef_linear_roberta,HEF-linear + RoBERTa embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
16,hef_linear_bert,HEF-linear + BERT embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
17,hef_linear_jina,HEF-linear + Jina embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
18,hef_gbdt_e5,HEF-GBDT + E5,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
19,hef_gbdt_minilm,HEF-GBDT + MiniLM,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
20,hef_gbdt_bge,HEF-GBDT + BGE,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
21,hef_gbdt_gte,HEF-GBDT + GTE,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
22,hef_gbdt_roberta,HEF-GBDT + RoBERTa embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
23,hef_gbdt_bert,HEF-GBDT + BERT embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
24,hef_gbdt_jina,HEF-GBDT + Jina embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
25,jina_zero_shot,Jina zero-shot,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1,1.0,,1
26,jina_finetuned,Jina fine-tuned,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
27,tuned_roberta,Tuned RoBERTa,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
28,ditto_style_mixda,Ditto-style RoBERTa + MixDA,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
29,official_ditto_plain,Official Ditto,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
30,official_ditto_mixda,Official Ditto + MixDA,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
31,anymatch,AnyMatch,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
32,hef_gbdt_mixda_e5,HEF-GBDT + MixDA-style augmentation + E5,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
33,hef_gbdt_mixda_jina,HEF-GBDT + MixDA-style augmentation + Jina embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
34,hef_gbdt_mixda_roberta,HEF-GBDT + MixDA-style augmentation + RoBERTa embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
35,hef_gbdt_mixda_bert,HEF-GBDT + MixDA-style augmentation + BERT embedding,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
36,hef_e5_jina_zero_shot,HEF-GBDT + E5 + Jina zero-shot,,,0,,,0,,,0,,,0,,,0,,,0
37,hef_e5_tuned_roberta,HEF-GBDT + E5 + fine-tuned RoBERTa (OOF),1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
38,hef_e5_official_ditto,HEF-GBDT + E5 + Official Ditto,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
39,hef_e5_official_ditto_mixda,HEF-GBDT + E5 + Official Ditto + MixDA,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3
