order,config_id,model,abt_buy_mean,abt_buy_std,abt_buy_n,amazon_google_mean,amazon_google_std,amazon_google_n,walmart_amazon_mean,walmart_amazon_std,walmart_amazon_n,wdc_80_medium_seen_mean,wdc_80_medium_seen_std,wdc_80_medium_seen_n,wdc_80_medium_unseen_mean,wdc_80_medium_unseen_std,wdc_80_medium_unseen_n,link_lives_release2_mean,link_lives_release2_std,link_lives_release2_n
1,rules,Rules,0.7235993605431154,,1,0.8876582744680903,,1,0.8590819093344912,,1,0.34843343364644636,,1,0.49376581547440423,,1,0.6962840851557598,,1
2,embedding_e5,E5,0.8653979374844035,,1,0.8738271382172501,,1,0.9210650672482734,,1,0.503337108315655,,1,0.5962304529889048,,1,0.7540832838605647,,1
3,embedding_minilm,MiniLM,0.7442876387681582,,1,0.8498053148616754,,1,0.8009086121681542,,1,0.4062051906859387,,1,0.5210359810575946,,1,0.6386966117751812,,1
4,embedding_bge,BGE,0.8877836809654991,,1,0.888783765772342,,1,0.8672711899230319,,1,0.5063740391861297,,1,0.6034686457352678,,1,0.6704069937250592,,1
5,embedding_gte,GTE,0.8837868480725624,,1,0.8980354693317655,,1,0.9150127226463104,,1,0.5333424733933323,,1,0.6342629373445894,,1,0.7228716793910138,,1
6,embedding_roberta,RoBERTa embedding,0.7849910487611023,,1,0.8106694611759998,,1,0.8218139155162055,,1,0.4607449715809655,,1,0.5757094274503569,,1,0.46457828073342067,,1
7,embedding_bert,BERT embedding,0.4102371221673292,,1,0.7196484271556152,,1,0.7313425255774197,,1,0.3338148196185009,,1,0.3835028583296913,,1,0.14565797106825853,,1
8,embedding_jina,Jina embedding,0.8501823573252144,,1,0.7542341109428337,,1,0.7482784136618941,,1,0.45911941339459,,1,0.5747704555620761,,1,0.5479886556350893,,1
9,equal_fusion_e5,Equal fusion + E5,0.7863615570920264,,1,0.9076887605758049,,1,0.8984278444202107,,1,0.3967670490898617,,1,0.5417920181968136,,1,0.7212661807429828,,1
10,convex_fusion_e5,Convex fusion + E5,0.877164502164502,,1,0.8885553607946246,,1,0.944729189385678,,1,0.5057836684603716,,1,0.5964529336069293,,1,0.7745264199447466,,1
11,hef_linear_e5,HEF-linear + E5,0.8956284786641928,0.0,3,0.9044770669003798,0.0,3,0.9423967042287652,0.0,3,0.6046386552844647,0.0,3,0.7239956326741548,0.0,3,0.8242659306505584,0.0,3
12,hef_linear_minilm,HEF-linear + MiniLM,0.8960426594880376,0.0,3,0.9165762563910711,0.0,3,0.9374893977947413,0.0,3,0.5883030862164865,0.0,3,0.717545568511979,0.0,3,0.8647887704068462,0.0,3
13,hef_linear_bge,HEF-linear + BGE,0.916991341991342,0.0,3,0.9155589638718471,0.0,3,0.9418029807342784,0.0,3,0.6117964598486484,0.0,3,0.7319693495348738,0.0,3,0.8344026712821305,0.0,3
14,hef_linear_gte,HEF-linear + GTE,0.9131983096268811,0.0,3,0.9128159905937683,0.0,3,0.9510178117048346,0.0,3,0.6335591151419788,0.0,3,0.7361316491739102,0.0,3,0.8054637185647783,0.0,3
15,hef_linear_roberta,HEF-linear + RoBERTa embedding,0.8845633533133533,0.0,3,0.9238241308793455,0.0,3,0.9500000000000001,0.0,3,0.6056363741048651,0.0,3,0.7090768499419134,0.0,3,0.46457828073342067,0.0,3
16,hef_linear_bert,HEF-linear + BERT embedding,0.9070606558795535,0.0,3,0.9217467962501075,0.0,3,0.9616071428571428,0.0,3,0.6431431527019762,0.0,3,0.7260750797499202,0.0,3,0.8212591754856792,0.0,3
17,hef_linear_jina,HEF-linear + Jina embedding,0.9069109461966605,0.0,3,0.9101449275362317,0.0,3,0.937603305785124,0.0,3,0.5934135617700086,0.0,3,0.7280097423306342,0.0,3,0.7406117850979828,0.0,3
18,hef_gbdt_e5,HEF-GBDT + E5,0.9273715041572185,0.003318075295668846,3,0.8886832794323913,0.0069264860213167955,3,0.9479541239083223,0.002069196692200567,3,0.6101219593698122,0.0026472770034012935,3,0.7114663504033678,0.005600450984073123,3,0.8886190759394839,0.0004990791564796227,3
19,hef_gbdt_minilm,HEF-GBDT + MiniLM,0.9255109308680737,0.0037529823100128025,3,0.8956987571185102,0.005850969153889482,3,0.9360485734655997,0.0033573444889017237,3,0.6008358029866344,0.0016576684302643215,3,0.7134941351191969,0.005103157878298523,3,0.9085960822018821,0.0018913566705690468,3
20,hef_gbdt_bge,HEF-GBDT + BGE,0.936560409287682,0.014326133107623693,3,0.8925017041581458,0.01299668363963491,3,0.9352011855828649,0.005427563596161669,3,0.6172826871991741,0.0036985842503442657,3,0.7268499692138806,0.005464938324376542,3,0.9065445473962944,0.000330498210940744,3
21,hef_gbdt_gte,HEF-GBDT + GTE,0.9421881149153876,0.0028968423087476877,3,0.9103533868965967,0.007568562249208103,3,0.9447655398037077,0.007852699963354592,3,0.6292195679633608,0.0030059178797337766,3,0.7320676567921057,0.0031350333980543887,3,0.8919294673521002,0.0006057380606887607,3
22,hef_gbdt_roberta,HEF-GBDT + RoBERTa embedding,0.9201393964380977,0.003849948978582985,3,0.8991885698940912,0.011417847072832018,3,0.9383708954319641,0.0023550108173192377,3,0.6110083240361104,0.005344748765932621,3,0.7092902718153219,0.00322519442893441,3,0.4543230274940486,0.0004624205603283105,3
23,hef_gbdt_bert,HEF-GBDT + BERT embedding,0.9303046399503093,0.00984194154905056,3,0.9170556081152107,0.00571334089667831,3,0.9578869047619049,0.001968564963589697,3,0.6398147611585191,0.0013161763262883141,3,0.7323959318871924,0.004419833498666884,3,0.9318020301954404,0.001549333190277168,3
24,hef_gbdt_jina,HEF-GBDT + Jina embedding,0.9320122998694428,0.005889887225014032,3,0.8898682178185283,0.0109324036871616,3,0.9479032751760024,0.0027342102160936425,3,0.6025883497418181,0.007049802709813614,3,0.74250118662807,0.0009728808385924416,3,0.9067060598581493,0.0018824112414054215,3
25,jina_zero_shot,Jina zero-shot,0.9376004947433519,,1,0.854080462822794,,1,0.8985262934690416,,1,0.6671205125429628,,1,0.757832964299663,,1,0.49766757271527257,,1
26,jina_finetuned,Jina fine-tuned,0.963612532248896,0.0017586668789614029,3,0.9205180640763462,0.004272919560085551,3,0.9562583303041319,0.006728715051509693,3,0.8645840947661777,0.019629844442988015,3,0.8761036199786558,0.0118442308307629,3,0.9440309056548739,0.016207563905636237,3
27,tuned_roberta,Tuned RoBERTa,0.9768853983083233,0.007490734651235758,3,0.9441306755553517,0.008551178446398983,3,0.9670826770063411,0.017207153318640228,3,0.8216828782600104,0.006658666589985863,3,0.8284683786267844,0.0019273220417528117,3,0.7539907491021961,8.013745148020218e-05,3
