model,dataset,method,f1_mean,f1_std,runs
e5,abt_buy,frozen_embedding,0.5023696682464455,,1
e5,abt_buy,hef_linear,0.6740088105726872,0.0,3
e5,abt_buy,hef_gbdt,0.7140961868136304,0.0046849237626827136,3
e5,amazon_google,frozen_embedding,0.5214007782101168,,1
e5,amazon_google,hef_linear,0.5605095541401274,0.0,3
e5,amazon_google,hef_gbdt,0.5816675381488888,0.009892790804706869,3
e5,walmart_amazon,frozen_embedding,0.490272373540856,,1
e5,walmart_amazon,hef_linear,0.7231638418079096,0.0,3
e5,walmart_amazon,hef_gbdt,0.7844407718824101,0.010518392244772752,3
e5,wdc_80_medium_seen,frozen_embedding,0.3564453125,,1
e5,wdc_80_medium_seen,hef_linear,0.42273819055244194,0.0,3
e5,wdc_80_medium_seen,hef_gbdt,0.4790615737322126,0.009970207902665874,3
e5,wdc_80_medium_unseen,frozen_embedding,0.39572192513368987,,1
e5,wdc_80_medium_unseen,hef_linear,0.49757673667205166,6.798699777552591e-17,3
e5,wdc_80_medium_unseen,hef_gbdt,0.5142137673989499,0.0016046326419122366,3
e5,link_lives_release2,frozen_embedding,0.7052598817304699,,1
e5,link_lives_release2,hef_linear,0.8197187100440404,0.0,3
e5,link_lives_release2,hef_gbdt,0.8602926699689689,0.0012427960490436307,3
minilm,abt_buy,frozen_embedding,0.33482810164424515,,1
minilm,abt_buy,hef_linear,0.6681318681318681,0.0,3
minilm,abt_buy,hef_gbdt,0.7117043812359395,0.0017753947255006973,3
minilm,amazon_google,frozen_embedding,0.422360248447205,,1
minilm,amazon_google,hef_linear,0.5520169851380042,0.0,3
minilm,amazon_google,hef_gbdt,0.5728565874907338,0.003059733736652319,3
minilm,walmart_amazon,frozen_embedding,0.37393767705382436,,1
minilm,walmart_amazon,hef_linear,0.7267605633802817,0.0,3
minilm,walmart_amazon,hef_gbdt,0.7708485905052737,0.013946311208679625,3
minilm,wdc_80_medium_seen,frozen_embedding,0.3089788732394366,,1
minilm,wdc_80_medium_seen,hef_linear,0.42142230026338895,0.0,3
minilm,wdc_80_medium_seen,hef_gbdt,0.44071615292101357,0.011917839013921443,3
minilm,wdc_80_medium_unseen,frozen_embedding,0.34499753573188763,,1
minilm,wdc_80_medium_unseen,hef_linear,0.46788990825688076,0.0,3
minilm,wdc_80_medium_unseen,hef_gbdt,0.47604997402043203,0.00239769623302177,3
minilm,link_lives_release2,frozen_embedding,0.6106623586429726,,1
minilm,link_lives_release2,hef_linear,0.8269120184013801,0.0,3
minilm,link_lives_release2,hef_gbdt,0.8551249553294346,0.0031039409612479666,3
bge,abt_buy,frozen_embedding,0.4963855421686747,,1
bge,abt_buy,hef_linear,0.6699507389162561,0.0,3
bge,abt_buy,hef_gbdt,0.7332439513672114,0.0037580050029790714,3
bge,amazon_google,frozen_embedding,0.5078740157480315,,1
bge,amazon_google,hef_linear,0.568935427574171,0.0,3
bge,amazon_google,hef_gbdt,0.5894155369720363,0.00363679526711723,3
bge,walmart_amazon,frozen_embedding,0.4663677130044843,,1
bge,walmart_amazon,hef_linear,0.7252124645892352,0.0,3
bge,walmart_amazon,hef_gbdt,0.7773078086531271,0.005880878198002086,3
bge,wdc_80_medium_seen,frozen_embedding,0.35673076923076924,,1
bge,wdc_80_medium_seen,hef_linear,0.4480796586059744,0.0,3
bge,wdc_80_medium_seen,hef_gbdt,0.467892176873786,0.004790602704359159,3
bge,wdc_80_medium_unseen,frozen_embedding,0.4070138150903294,,1
bge,wdc_80_medium_unseen,hef_linear,0.5190839694656488,0.0,3
bge,wdc_80_medium_unseen,hef_gbdt,0.5269880825696732,0.0012820067273810734,3
bge,link_lives_release2,frozen_embedding,0.6691094471881472,,1
bge,link_lives_release2,hef_linear,0.8266244968372628,0.0,3
bge,link_lives_release2,hef_gbdt,0.8622960681707093,0.0010658876835525563,3
gte,abt_buy,frozen_embedding,0.5,,1
gte,abt_buy,hef_linear,0.6770601336302895,0.0,3
gte,abt_buy,hef_gbdt,0.7289785732541363,0.009302865157965131,3
gte,amazon_google,frozen_embedding,0.5440900562851783,,1
gte,amazon_google,hef_linear,0.5764499121265377,0.0,3
gte,amazon_google,hef_gbdt,0.5846455031795056,0.00023913334082138833,3
gte,walmart_amazon,frozen_embedding,0.4986449864498645,,1
gte,walmart_amazon,hef_linear,0.740506329113924,0.0,3
gte,walmart_amazon,hef_gbdt,0.7880256201487271,0.0048958555115926694,3
gte,wdc_80_medium_seen,frozen_embedding,0.35862735621072983,,1
gte,wdc_80_medium_seen,hef_linear,0.4592487597448618,0.0,3
gte,wdc_80_medium_seen,hef_gbdt,0.48121112270451566,0.0008399893630356813,3
gte,wdc_80_medium_unseen,frozen_embedding,0.4125514403292181,,1
gte,wdc_80_medium_unseen,hef_linear,0.5185185185185185,0.0,3
gte,wdc_80_medium_unseen,hef_gbdt,0.5249446537626002,0.0020683349823564815,3
gte,link_lives_release2,frozen_embedding,0.7341927562922038,,1
gte,link_lives_release2,hef_linear,0.8305134189031506,0.0,3
gte,link_lives_release2,hef_gbdt,0.8571857477071391,0.0008761094253022655,3
roberta,abt_buy,frozen_embedding,0.41681901279707495,,1
roberta,abt_buy,hef_linear,0.6363636363636364,0.0,3
roberta,abt_buy,hef_gbdt,0.7148199404571218,0.011088881303800459,3
roberta,amazon_google,frozen_embedding,0.44635193133047213,,1
roberta,amazon_google,hef_linear,0.5740740740740741,0.0,3
roberta,amazon_google,hef_gbdt,0.5671425512151983,0.009058345367340973,3
roberta,walmart_amazon,frozen_embedding,0.38588235294117645,,1
roberta,walmart_amazon,hef_linear,0.746177370030581,0.0,3
roberta,walmart_amazon,hef_gbdt,0.7811759877206746,0.005233312730307501,3
roberta,wdc_80_medium_seen,frozen_embedding,0.3433703116745906,,1
roberta,wdc_80_medium_seen,hef_linear,0.43783783783783786,0.0,3
roberta,wdc_80_medium_seen,hef_gbdt,0.4570660848920503,0.006248253081460334,3
roberta,wdc_80_medium_unseen,frozen_embedding,0.39475123018042646,,1
roberta,wdc_80_medium_unseen,hef_linear,0.5101744186046512,0.0,3
roberta,wdc_80_medium_unseen,hef_gbdt,0.4980570083365672,0.009257064231053902,3
roberta,link_lives_release2,frozen_embedding,0.4324460070316424,,1
roberta,link_lives_release2,hef_linear,0.8063273727647869,1.3597399555105182e-16,3
roberta,link_lives_release2,hef_gbdt,0.8514304720325797,0.0022831191017022904,3
bert,abt_buy,frozen_embedding,0.20602526724975703,,1
bert,abt_buy,hef_linear,0.6550976138828634,0.0,3
bert,abt_buy,hef_gbdt,0.6930542593309204,0.015656137279221365,3
bert,amazon_google,frozen_embedding,0.33967391304347827,,1
bert,amazon_google,hef_linear,0.5505376344086022,0.0,3
bert,amazon_google,hef_gbdt,0.5687827349573281,0.011637842925491377,3
bert,walmart_amazon,frozen_embedding,0.3113456464379947,,1
bert,walmart_amazon,hef_linear,0.7130434782608696,0.0,3
bert,walmart_amazon,hef_gbdt,0.7626895310969917,0.014083641319941739,3
bert,wdc_80_medium_seen,frozen_embedding,0.25770308123249297,,1
bert,wdc_80_medium_seen,hef_linear,0.40452830188679245,0.0,3
bert,wdc_80_medium_seen,hef_gbdt,0.44394966902572075,0.0032906568590448286,3
bert,wdc_80_medium_unseen,frozen_embedding,0.27388535031847133,,1
bert,wdc_80_medium_unseen,hef_linear,0.4750378214826021,0.0,3
bert,wdc_80_medium_unseen,hef_gbdt,0.47608630440631955,0.005368280952261862,3
bert,link_lives_release2,frozen_embedding,0.3941677993327567,,1
bert,link_lives_release2,hef_linear,0.818805372963704,1.3597399555105182e-16,3
bert,link_lives_release2,hef_gbdt,0.8474187577305065,0.005326955886305378,3
jina,abt_buy,frozen_embedding,0.43478260869565216,,1
jina,abt_buy,hef_linear,0.6952595936794582,0.0,3
jina,abt_buy,hef_gbdt,0.7025944117189243,0.016241342292215626,3
jina,amazon_google,frozen_embedding,0.3401360544217687,,1
jina,amazon_google,hef_linear,0.5446623093681917,0.0,3
jina,amazon_google,hef_gbdt,0.5635860933223366,0.011209057510766212,3
jina,walmart_amazon,frozen_embedding,0.3398230088495575,,1
jina,walmart_amazon,hef_linear,0.7188405797101449,0.0,3
jina,walmart_amazon,hef_gbdt,0.7664895101708336,0.005643562622425354,3
jina,wdc_80_medium_seen,frozen_embedding,0.2930943595150237,,1
jina,wdc_80_medium_seen,hef_linear,0.4302670623145401,6.798699777552591e-17,3
jina,wdc_80_medium_seen,hef_gbdt,0.44937309181027324,0.007170565679900116,3
jina,wdc_80_medium_unseen,frozen_embedding,0.3337222870478413,,1
jina,wdc_80_medium_unseen,hef_linear,0.48979591836734687,6.798699777552591e-17,3
jina,wdc_80_medium_unseen,hef_gbdt,0.48927978695408475,0.004603373439011954,3
jina,link_lives_release2,frozen_embedding,0.5862984599044079,,1
jina,link_lives_release2,hef_linear,0.820969337289812,0.0,3
jina,link_lives_release2,hef_gbdt,0.8511363254848973,0.002073345227142077,3
