model,dataset,method,mrr_at_100,hits_at_100,hits_at_100_end_to_end,mrr_at_100_std,runs
e5,abt_buy,embedding,0.8653979374844035,1.0,1.0,,1
e5,abt_buy,hef_linear,0.8956284786641928,1.0,1.0,0.0,3
e5,abt_buy,hef_gbdt,0.9305916305916307,1.0,1.0,0.003318075295668846,3
e5,abt_buy,hef_rank,0.9294990723562152,1.0,1.0,0.0,3
e5,amazon_google,embedding,0.8738271382172501,1.0,1.0,,1
e5,amazon_google,hef_linear,0.9044770669003798,1.0,1.0,0.0,3
e5,amazon_google,hef_gbdt,0.8849693251533742,1.0,1.0,0.0069264860213167955,3
e5,amazon_google,hef_rank,0.9044697633654688,1.0,1.0,0.0,3
e5,walmart_amazon,embedding,0.9210650672482734,1.0,1.0,,1
e5,walmart_amazon,hef_linear,0.9423967042287652,1.0,1.0,0.0,3
e5,walmart_amazon,hef_gbdt,0.9524955960070465,1.0,1.0,0.002069196692200567,3
e5,walmart_amazon,hef_rank,0.9491094147582697,1.0,1.0,0.0,3
e5,wdc_80_medium_seen,embedding,0.503337108315655,1.0,0.998,,1
e5,wdc_80_medium_seen,hef_linear,0.6046386552844647,1.0,0.998,0.0,3
e5,wdc_80_medium_seen,hef_gbdt,0.6143952683656233,1.0,0.998,0.0026472770034012935,3
e5,wdc_80_medium_seen,hef_rank,0.6172502724693795,1.0,0.998,0.0,3
e5,wdc_80_medium_unseen,embedding,0.5962304529889048,1.0,0.996,,1
e5,wdc_80_medium_unseen,hef_linear,0.7239956326741548,1.0,0.996,0.0,3
e5,wdc_80_medium_unseen,hef_gbdt,0.7174598187399392,1.0,0.996,0.005600450984073123,3
e5,wdc_80_medium_unseen,hef_rank,0.7325963527770757,1.0,0.996,0.0,3
e5,link_lives_release2,embedding,0.7540832838605647,1.0,0.9852307692307692,,1
e5,link_lives_release2,hef_linear,0.8244220830553055,1.0,0.9852307692307692,0.0,3
e5,link_lives_release2,hef_gbdt,0.8902238582396358,1.0,0.9852307692307692,0.0004990791564796227,3
e5,link_lives_release2,hef_rank,0.8947545543199312,1.0,0.9852307692307692,0.0015619211558803962,3
minilm,abt_buy,embedding,0.7442876387681582,1.0,1.0,,1
minilm,abt_buy,hef_linear,0.8976660361114143,1.0,1.0,0.0,3
minilm,abt_buy,hef_gbdt,0.9309365237936665,1.0,1.0,0.0037529823100128025,3
minilm,abt_buy,hef_rank,0.9319264069264068,1.0,1.0,0.0,3
minilm,amazon_google,embedding,0.8498053148616754,1.0,0.9938650306748467,,1
minilm,amazon_google,hef_linear,0.9165762563910711,1.0,0.9938650306748467,0.0,3
