dataset,method,hardware,gpu_required,offline_feature_seconds,offline_feature_pairs_per_second,training_seconds,batch_pairs_per_second,online_latency_ms_median,online_latency_ms_p95,peak_memory_bytes,model_size_bytes
abt_buy,hef_linear,CPU,False,1.9584438710007817,4889.085738825434,0.024547297041863203,2761738.3681777576,0.644824,0.6928190499999999,223158272,1519
abt_buy,hef_gbdt,CPU,False,1.9584438710007817,4889.085738825434,0.1966015420621261,327108.4802846477,1.8229015,1.9393435,223158272,286432
abt_buy,e5_base_v2,NVIDIA A10G,True,,,,277.3119894799819,4.251803379738703,,7680943104,437937152
abt_buy,ditto_mixda,NVIDIA A10G,True,,,,767.3341581450262,1.4987558196298778,,4137610752,498596904
abt_buy,jina_cross_encoder,NVIDIA A10G,True,,,,665.6793340419013,2.1201114600989968,,1681723392,556875266
amazon_google,hef_linear,CPU,False,1.5516215070383623,7385.821830914247,0.029927148018032312,3375653.13817598,0.638784,0.67952,223272960,1519
amazon_google,hef_gbdt,CPU,False,1.5516215070383623,7385.821830914247,0.13422762299887836,495889.7119626074,1.4419585,1.9093110500000001,223272960,192160
amazon_google,e5_base_v2,NVIDIA A10G,True,,,,688.7583159971313,1.607654079562053,,3031327744,437937152
amazon_google,ditto_mixda,NVIDIA A10G,True,,,,1830.5828700508985,0.6269683700520545,,2331184640,498596904
amazon_google,jina_cross_encoder,NVIDIA A10G,True,,,,1619.7711106889083,0.8496665896382183,,973491200,556875266
link_lives_release2,hef_linear,CPU,False,17.273345979003352,6239.034413540886,0.5206106359983096,14822515.394682758,0.6430235,0.75824405,470564864,1615
link_lives_release2,hef_gbdt,CPU,False,17.273345979003352,6239.034413540886,0.8449510349964839,596153.0888309479,3.729058,3.87998845,470564864,562536
link_lives_release2,e5_base_v2,NVIDIA A10G,True,,,,257.51621570343895,4.256302869180217,,6992745472,437937152
link_lives_release2,ditto_mixda,NVIDIA A10G,True,,,,786.1457385721216,1.3599774101749063,,4137612800,498596904
link_lives_release2,jina_cross_encoder,NVIDIA A10G,True,,,,544.7186630798651,2.08753741113469,,1861107712,556875266
walmart_amazon,hef_linear,CPU,False,1.9261782770045102,5317.264825521661,0.033411449985578656,3116236.145578468,0.6225435,0.649866,222674944,1519
walmart_amazon,hef_gbdt,CPU,False,1.9261782770045102,5317.264825521661,0.13260194496251643,457135.35872097505,1.480953,1.5487909999999998,222674944,198792
walmart_amazon,e5_base_v2,NVIDIA A10G,True,,,,423.633971876069,2.762617290718481,,3985626112,437937152
walmart_amazon,ditto_mixda,NVIDIA A10G,True,,,,1133.4703387620693,0.9685758303385228,,2968745472,498596904
walmart_amazon,jina_cross_encoder,NVIDIA A10G,True,,,,1007.3651137920377,1.2745222903322428,,1138812928,556875266
wdc_80_medium_seen,hef_linear,CPU,False,4.284191855927929,3267.8275088517685,0.027645278023555875,6396451.926049138,0.617643,0.645938,264286208,1519
wdc_80_medium_seen,hef_gbdt,CPU,False,4.284191855927929,3267.8275088517685,0.17547584394924343,437249.0285599825,1.7520875,1.8198245,264286208,275432
wdc_80_medium_seen,e5_base_v2,NVIDIA A10G,True,,,,137.46778846310045,15.552673409692943,,19249521664,437937152
wdc_80_medium_seen,ditto_mixda,NVIDIA A10G,True,,,,608.6515068221383,1.6913458006456494,,4137612800,498596904
wdc_80_medium_seen,jina_cross_encoder,NVIDIA A10G,True,,,,117.24332641126435,9.737368149217218,,8828995584,556875266
wdc_80_medium_unseen,hef_linear,CPU,False,4.343785081997339,3222.9955524324846,0.0322403550017043,6347424.120327584,0.620048,0.661711,270970880,1519
wdc_80_medium_unseen,hef_gbdt,CPU,False,4.343785081997339,3222.9955524324846,0.2341950469999574,728975.2594287626,2.038701,2.1442565499999997,270970880,275432
wdc_80_medium_unseen,e5_base_v2,NVIDIA A10G,True,,,,128.96426366736992,15.683371359482408,,19249521664,437937152
wdc_80_medium_unseen,ditto_mixda,NVIDIA A10G,True,,,,576.3832321808557,1.7905858007725328,,4137612800,498596904
wdc_80_medium_unseen,jina_cross_encoder,NVIDIA A10G,True,,,,115.24123222289731,9.749176669865847,,8828995584,556875266
