family,dataset,mask_probability,mask_seed,left_model,right_model,metric,comparison_type,left_mean,right_mean,paired_difference,ci95_lower,ci95_upper,effect_size_paired_dz,probability_of_superiority,raw_p_value,queries,holm_adjusted_p_value,statistically_supported_0_05
public__abt_buy__p00__seed20260725__reciprocal_rank,abt_buy,0.0,20260725,jina_finetuned,hef_linear_bert,reciprocal_rank,cross_family,0.9653679653679655,0.8952380952380953,0.07012987012987014,0.03630952380952382,0.10725108225108225,0.31028674422453423,0.5584415584415585,0.0,154,0.0,True
public__abt_buy__p00__seed20260725__hit_at_1,abt_buy,0.0,20260725,jina_finetuned,hef_linear_bert,hit_at_1,cross_family,0.9415584415584416,0.8246753246753247,0.11688311688311688,0.05844155844155844,0.18181818181818182,0.3089684094268467,0.5584415584415584,0.0,154,0.0,True
public__abt_buy__p00__seed20260725__reciprocal_rank,abt_buy,0.0,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.9653679653679655,0.9669913419913421,-0.0016233766233766235,-0.016233766233766232,0.012445887445887444,-0.017913361325062986,0.4967532467532468,0.8308,154,1.0,False
public__abt_buy__p00__seed20260725__hit_at_1,abt_buy,0.0,20260725,jina_finetuned,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.9415584415584416,0.9415584415584416,0.0,-0.025974025974025976,0.025974025974025976,0.0,0.5,1.0,154,1.0,False
public__abt_buy__p00__seed20260725__reciprocal_rank,abt_buy,0.0,20260725,jina_finetuned,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.9653679653679655,0.9800275482093664,-0.014659582841401024,-0.03463203463203464,0.005804801259346713,-0.11370096840010437,0.4837662337662338,0.1524,154,0.9144000000000001,False
public__abt_buy__p00__seed20260725__hit_at_1,abt_buy,0.0,20260725,jina_finetuned,joint_neural_hef_roberta,hit_at_1,cross_family,0.9415584415584416,0.9675324675324676,-0.025974025974025976,-0.05844155844155844,0.0,-0.1323129712180077,0.487012987012987,0.13,154,0.896,False
public__abt_buy__p00__seed20260725__reciprocal_rank,abt_buy,0.0,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,reciprocal_rank,cross_family,0.8952380952380953,0.9669913419913421,-0.07175324675324676,-0.10738704004329004,-0.03814867424242425,-0.32298443660398224,0.4383116883116883,0.0,154,0.0,True
public__abt_buy__p00__seed20260725__hit_at_1,abt_buy,0.0,20260725,hef_linear_bert,hef_gbdt_e5_roberta_oof,hit_at_1,cross_family,0.8246753246753247,0.9415584415584416,-0.11688311688311688,-0.17532467532467533,-0.05844155844155844,-0.3089684094268468,0.44155844155844154,0.0002,154,0.0018000000000000002,True
public__abt_buy__p00__seed20260725__reciprocal_rank,abt_buy,0.0,20260725,hef_linear_bert,joint_neural_hef_roberta,reciprocal_rank,cross_family,0.8952380952380953,0.9800275482093664,-0.08478945297127116,-0.1221603207398662,-0.04930883510428965,-0.3629910275262844,0.4253246753246753,0.0,154,0.0,True
public__abt_buy__p00__seed20260725__hit_at_1,abt_buy,0.0,20260725,hef_linear_bert,joint_neural_hef_roberta,hit_at_1,cross_family,0.8246753246753247,0.9675324675324676,-0.14285714285714285,-0.2012987012987013,-0.08441558441558442,-0.3869191878488788,0.42857142857142855,0.0,154,0.0,True
